"COUNTRY"	"COUNTRYCODE"	"TOTPOP.2010"	"POPDIF.00.10"	"POPDIF.00.10.rel"	"RURPOPDIF.00.10.rel"	"URBPOPDIF.00.10.rel"	"AGRIPOPDIF.00.10.rel"
"Haiti"	93	9993	1348	15.5928282244072	-14.0086206896552	69.1033138401559	6.01083032490975
"Holy See"	94	0	-1	-100	NA	-100	NA
"Honduras"	95	7601	1383	22.2418784174976	8.43160377358491	38.7336399009551	-5.39652745190052
"Hungary"	97	9984	-227	-2.22309274312016	-11.9435996682333	3.10935841043531	-31.5960912052117
"Iceland"	99	320	39	13.8790035587189	0	15	-13.0434782608696
"India"	100	1224614	170716	16.1985315466962	12.4313298528216	26.0486764211581	5.86848417899136
"Indonesia"	101	239871	26476	12.4070385904075	7.98833301014802	18.5089314603858	-4.64660661428054
"Iran (Islamic Republic of)"	102	73974	8632	13.2104924856907	-7.51506861026803	24.7651966626937	-8.24837278958585
"Iraq"	103	31672	7815	32.7576811837197	39.5960912052117	29.5062720138417	-21.2833258020786
"Ireland"	104	4470	666	17.5078864353312	9.45945945945946	23.0666666666667	-18.3333333333333
"Israel"	105	7418	1403	23.3250207813799	17.2815533980583	23.8909090909091	-19.1082802547771
"Italy"	106	60551	3565	6.25592250728249	2.56437710798223	8.05596888297178	-35.0280620666887
"Jamaica"	109	2741	159	6.15801704105345	5.78778135048232	6.57698056801196	-11.1111111111111
"Japan"	110	126536	816	0.649061406299714	-4.02927052366796	3.14428588852299	-44.8212083847102
"Jordan"	112	6187	1360	28.1748498031904	26.5714285714286	28.6130227633669	-11.5646258503401
"Kazakhstan"	108	16026	1069	7.14715517817744	1.69750726410766	11.3936081739337	-14.020618556701
"Kenya"	114	40513	9259	29.6250079989761	25.6706660820345	45.7110426463434	21.3310145911096
"Kiribati"	83	100	16	19.047619047619	16.6666666666667	22.2222222222222	4.54545454545455
"Kuwait"	118	2737	796	41.0097887686759	25.7142857142857	41.2906610703043	33.3333333333333
"Kyrgyzstan"	113	5334	379	7.64883955600404	8.7200249143569	5.67660550458716	-13.5408560311284
"Lao People's Democratic Republic"	120	6201	884	16.6259168704156	-0.144613159797542	76.0479041916168	13.9842983316977
"Latvia"	119	2252	-133	-5.57651991614256	-4.59317585301837	-6.03820086260012	-27.2727272727273
"Lebanon"	121	4228	486	12.9877071084981	2.86259541984733	14.6053449347421	-43.3823529411765
"Lesotho"	122	2171	207	10.5397148676171	1.01781170483461	48.9795918367347	3.05250305250305
"Liberia"	123	3994	1147	40.2880224798033	31.4826498422713	51.3470681458003	28.8091523660946
"Libya"	124	6355	1124	21.4872873255592	13.6731391585761	23.9048811013767	-36.0927152317881
"Liechtenstein"	125	36	3	9.09090909090909	10.7142857142857	0	0
"Lithuania"	126	3324	-176	-5.02857142857143	-5.1038062283737	-5.07462686567164	-37.15953307393
"Luxembourg"	256	507	72	16.551724137931	5.63380281690141	18.3561643835616	-30
"Madagascar"	129	20714	5350	34.8216610257745	29.141734393141	50.059995200384	26.3611062793529
"Malawi"	130	14901	3672	32.7010419449639	25.511811023622	72.887323943662	23.9552409225851
"Malaysia"	131	28401	4986	21.2940422805894	-11.2209367628889	41.2417309812569	-18.5034664116663
"Maldives"	132	316	43	15.7509157509158	-4.54545454545455	67.1052631578947	-23.6842105263158
"Mali"	133	15370	4075	36.0779105799026	21.7912291537986	72.1649484536082	26.3827919227392
"Malta"	134	417	20	5.03778337531486	-26.6666666666667	7.35694822888283	-42.8571428571429
"Marshall Islands"	127	54	2	3.84615384615385	-6.25	8.33333333333333	-14.2857142857143
"Martinique"	135	406	21	5.45454545454545	10	4.33526011560694	-40
"Mauritania"	136	3460	817	30.9118426031025	27.7427490542245	35.6669820245979	24.9820531227566
"Mauritius"	137	1299	103	8.61204013377926	10.2040816326531	6.66666666666667	-24.6376811594203
"Mayotte"	270	204	55	36.9127516778523	35.6435643564356	41.6666666666667	30.2752293577982
"Mexico"	138	113423	13463	13.468387354942	-0.470970039973087	18.1853478284154	-13.86595537491
"Micronesia (Federated States of)"	145	111	4	3.73831775700935	3.6144578313253	4.16666666666667	-10.3448275862069
"Monaco"	140	35	0	0	NA	0	0
"Mongolia"	141	2756	345	14.3094151804231	0.673076923076923	24.653537563822	-15.7264957264957
"Montserrat"	142	6	1	20	25	0	0
"Morocco"	143	31951	3158	10.9679435974021	-0.692170288776422	21.1694992511558	-14.8102310231023
"Mozambique"	144	23391	5190	28.5149167628152	14.157748711851	60.9380594343	24.3774482372692
"Myanmar"	28	47963	3005	6.68401619289114	-1.95927420597024	29.1349923981756	1.77475482442265
"Namibia"	147	2283	387	20.4113924050633	10.4524180967239	41.2052117263844	0.537634408602151
"Nauru"	148	10	0	0	NA	0	-33.3333333333333
"Nepal"	149	29959	5558	22.7777550100406	15.4239454622923	70.2471772963076	22.4420700874994
"Netherlands"	150	16613	750	4.72798335749858	-22.6358695652174	12.9935155544611	-23.0188679245283
"Netherlands Antilles"	151	201	21	11.6666666666667	-22.2222222222222	15.4320987654321	0
"New Caledonia"	153	251	39	18.3962264150943	24.4186046511628	15.2	-1.2987012987013
"New Zealand"	156	4368	510	13.2192846034215	9.04159132007233	13.9183055975794	-0.884955752212389
"Nicaragua"	157	5788	714	14.0717382735514	7.53156290814105	19.4814548073461	-21.1827007943513
"Niger"	158	15512	4590	42.0252700970518	40.4478427089022	50.1131221719457	37.3091297383876
"Nigeria"	159	158423	34734	28.0817210908003	11.8465281782253	50.0370814079525	-4.2010064911385
"Niue"	160	1	-1	-50	0	0	-100
"Northern Mariana Islands"	163	61	-7	-10.2941176470588	-28.5714285714286	-9.67741935483871	-22.2222222222222
"Norway"	162	4883	392	8.72856824760632	-6.42458100558659	13.4913666959321	-19.7368421052632
"Occupied Palestinian Territory"	299	4039	840	26.2582056892779	16.3879598662207	30.1042571676803	-15.2631578947368
"Oman"	221	2782	518	22.8798586572438	16.4596273291925	25.4320987654321	-1.34969325153374
"Pakistan"	165	173593	29071	20.1152765668895	15.1607662137409	30.1094128455692	8.3383226974693
"Palau"	180	20	1	5.26315789473684	-50	30.7692307692308	0
"Panama"	166	3517	561	18.978349120433	-12.3639960435213	35.2699228791774	-8.06451612903226
"Papua New Guinea"	168	6858	1479	27.4958170663692	28.4857571214393	20.9859154929577	18.5969084423306
"Paraguay"	169	6455	1111	20.7896706586826	4.10557184750733	34.2238755495435	3.1533939070016
"Peru"	170	29077	3215	12.431366483644	-3.74354561101549	18.4012705134992	-5.18579011841568
"Philippines"	171	93261	15951	20.6325184322856	18.5157551791887	22.9266057518665	2.43446920052425
"Poland"	173	38277	-25	-0.0652707430421388	1.90943807965085	-1.29447100131139	-22.1733149931224
"Portugal"	174	10676	340	3.28947368421053	-10.9908762995969	15.2409745687355	-26.4607118871726
"Puerto Rico"	177	3749	-65	-1.70424750917672	-77.4509803921569	2.57617728531856	-49.0909090909091
"Qatar"	179	1759	1168	197.631133671743	143.333333333333	200.356506238859	62.5
"Réunion"	182	846	107	14.4790257104195	-32	19.7289156626506	-45.8333333333333
"Republic of Korea"	117	48184	2196	4.77515873706184	-12.3879641485275	9.16539217828272	-45.4071499503476
"Republic of Moldova"	146	3573	-534	-13.0021913805698	-16.7398945518453	-8.41070453304205	-42.8571428571429
"Romania"	183	21486	-706	-3.18132660418169	-12.3693546840541	4.96471988438324	-41.5314730694354
"Russian Federation"	185	142958	-3800	-2.58929666525845	-1.92017590959065	-2.8324059193475	-25.5786887365835
"Rwanda"	184	10624	2526	31.1928871326253	23.456966919662	79.6412556053812	29.0822569680489
"Saint Helena"	187	4	-1	-20	-33.3333333333333	0	-33.3333333333333
"Saint Kitts and Nevis"	188	52	6	13.0434782608696	12.9032258064516	13.3333333333333	0
"Saint Lucia"	189	174	17	10.828025477707	11.5044247787611	11.3636363636364	-2.77777777777778
"Saint Pierre and Miquelon"	190	6	0	0	0	-16.6666666666667	NA
"Saint Vincent and the Grenadines"	191	109	1	0.925925925925926	-6.77966101694915	10.2040816326531	-12
"Samoa"	244	183	6	3.38983050847458	5.79710144927536	-5.12820512820513	-18.0327868852459
"San Marino"	192	32	5	18.5185185185185	0	20	0
"Sao Tome and Principe"	193	165	24	17.0212765957447	-6.06060606060606	37.3333333333333	7.95454545454545
"Saudi Arabia"	194	27448	7403	36.93190321776	21.7821782178218	40.7472197925778	-30.9324124321658
"Senegal"	195	12434	2928	30.8015989901115	26.3269264679951	37.3924380704042	25.0214715144575
"Seychelles"	196	87	8	10.126582278481	0	20	3.2258064516129
"Sierra Leone"	197	5868	1725	41.6364952932658	35.2919161676647	53.1611148878314	30.8320950965825
"Singapore"	200	5086	1167	29.7780045930084	NA	29.7780045930084	-50
"Slovakia"	199	5462	57	1.05457909343201	3.97295012679628	-1.21750575847318	-21.9758064516129
"Slovenia"	198	2030	45	2.26700251889169	4.80572597137014	-0.297619047619048	-65.7894736842105
"Solomon Islands"	25	538	129	31.5403422982885	26.9565217391304	56.25	24.2320819112628
"Somalia"	201	9331	1932	26.1116367076632	18.1818181818182	42.0325203252033	17.9383429672447
"South Africa"	202	50133	5373	12.0040214477212	-0.497512437810945	21.4773798303487	-20.9482341557813
"Spain"	203	46077	5789	14.3690428911835	8.89795064826432	16.0683482506102	-30.5385139740968
"Sri Lanka"	38	20860	2115	11.2830088023473	13.2843199391558	0.640377485675767	4.03365218393454
"Sudan (former)"	206	43552	9364	27.3897273897274	14.5831503118686	52.9288153401629	7.76950780312125
"Suriname"	207	525	58	12.4197002141328	-1.82926829268293	20.1320132013201	0
"Swaziland"	209	1186	122	11.4661654135338	13.3657351154313	5.39419087136929	-9.28381962864722
"Sweden"	210	9380	520	5.86907449209932	1.5547703180212	6.68905305574211	-23.8853503184713
"Switzerland"	211	7664	496	6.91964285714286	5.75313807531381	7.36301369863014	-17.6344086021505
"Syrian Arab Republic"	212	20411	4422	27.6565138532741	17.5842769751399	36.9732723332531	7.08661417322835
"Tajikistan"	208	6879	706	11.4369026405313	11.6791538122521	10.7033639143731	-9.88066825775656
"Thailand"	216	69122	5967	9.44818304172274	4.96941544405096	19.3553307234735	-8.10915675116399
"The former Yugoslav Republic of Macedonia"	154	2061	52	2.58835241413639	2.69607843137255	2.43084660519698	-40.5405405405405
"Timor-Leste"	176	1124	294	35.421686746988	28.4578696343402	57.2139303482587	32.7893175074184
"Togo"	217	6028	1234	25.7405089695453	12.0276043378245	49.571673329526	12.5874125874126
"Tokelau"	218	1	-1	-50	-50	NA	-100
"Tonga"	219	104	6	6.12244897959184	6.66666666666667	4.34782608695652	-17.6470588235294
"Trinidad and Tobago"	220	1341	49	3.79256965944272	0.260416666666667	32.8571428571429	-20
"Tunisia"	222	10481	1025	10.8396785109983	-0.838635049161365	17.5725241747249	-4.39414114513981
"Turkey"	223	72752	9124	14.339598918715	-1.57789168709606	23.0087636248877	-14.1484249866524
"Turkmenistan"	213	5042	541	12.019551210842	4.34426229508197	21.0475266731329	-0.465425531914894
"Turks and Caicos Islands"	224	38	19	100	0	125	100
"Tuvalu"	227	10	1	11.1111111111111	0	25	0
"Uganda"	226	33425	9212	38.0456779416016	36.1377301766253	51.9316239316239	28.2997178388546
"Ukraine"	230	45448	-3444	-7.04409719381494	-11.6852393699807	-4.77031802120141	-33.0593372720267
"United Arab Emirates"	225	7512	4479	147.675568743818	100	159.301848049281	54.9668874172185
"United Kingdom"	229	62272	3176	5.37430621361852	0.558747147241678	6.69339714156373	-12.4045801526718
"United Republic of Tanzania"	215	44841	10803	31.738057465186	24.8288901493666	55.7808796418225	23.3333333333333
"United States of America"	231	310384	27888	9.87199818758496	-6.92702249758773	14.3136561589451	-18.0124223602484
"United States Virgin Islands"	240	109	0	0	-37.5	2.97029702970297	-13.0434782608696
"Uruguay"	234	3369	50	1.50647785477553	-12.1527777777778	2.77136258660508	-8.71934604904632
"Uzbekistan"	235	27445	2669	10.7725217952858	12.8693071861695	7.27919767065675	-14.1981613891726
"Vanuatu"	155	240	55	29.7297297297297	22.7586206896552	52.5	7.35294117647059
"Venezuela (Bolivarian Republic of)"	236	28980	4632	19.0241498275012	-21.7709179528838	23.6132687562826	-22.2270363951473
"Viet Nam"	237	87848	9090	11.5416846542573	2.83999192897498	38.3749870372291	4.59952119738355
"Wallis and Futuna Islands"	243	14	0	0	0	NA	-20
"Western Sahara"	205	531	216	68.5714285714286	88.2352941176471	64.3939393939394	38.7931034482759
"Yemen"	249	24053	6330	35.7163008520002	25.5203550658096	64.3394199785177	10.0082420817144
"Zambia"	251	13089	2887	28.2983728680651	26.5373628025861	31.6338028169014	17.368495675599
"Zimbabwe"	181	12571	62	0.495643136941402	-6.33522384457584	13.8763911910964	-10.0279613624809
